sample-id	genotype	x	y
y117	 Col	-0.77367912	0.079858072
y118	 Col	-0.975228567	0.2464882164835941
y119	 Col	-0.556843045	-0.406273109
y120	 Col	-0.511970604	-0.208077788
y121	 Col	-0.962513371	0.2482720521915656
y122	 Col	-0.772322962	-0.340061198
y123	 Col	-0.857790953	-0.110376456
y124	 Col	-0.849410959	-0.091273328
y125	 Col	0.1599385173153752	-0.497939542
y126	 Col	-0.142916556	-0.551608309
y127	 Col	0.083255306	-0.576880282
y128	 Col	-0.206948088	-0.50942362
y129	 Col	-0.095036782	-0.318789506
y130	 Col	0.081092516	-0.580123182
y131	 Col	0.020097349203357835	-0.474340047
y132	 Col	0.064539369	-0.546539944
y133	 Col	-0.336330184	-0.515340259
y244	 aca4/11	0.22038465045697786	0.066806182
y245	 aca4/11	0.20570194671382974	0.060132853171306046
y246	 aca4/11	0.229241222	0.092761633
y247	 aca4/11	0.21181513992842016	0.095773748
y248	 aca4/11	0.25045743868685055	0.098450068
y249	 aca4/11	0.16518097085035607	0.06473251
y250	 aca4/11	0.22365206665332243	0.072187026
y251	 aca4/11	0.22589185514875826	0.096507369
y252	 aca4/11	0.21305713950451405	0.063216636
y253	 aca4/11	0.17224464838783576	0.055900887
y254	 aca4/11	0.20821739610758042	0.09567936
y255	 aca4/11	0.18574586414840785	0.065739203
y256	 aca4/11	0.23646796475698728	0.082666442
y257	 aca4/11	0.17867005403922448	0.024801675006460074
y258	 aca4/11	0.23329488846338317	0.10525014315466298
y259	 aca4/11	0.2381193462285388	0.10508487371451884
y276	 acd5	0.21789927402278342	-0.001565196
y277	 acd5	0.2975315616211244	0.12771359979434638
y278	 acd5	0.29034618196977513	0.11071874636251866
y279	 acd5	0.20626974808930607	0.004614513
y280	 acd5	-0.942488137	0.35390114780295534
y281	 acd5	0.18611854069886807	0.049590866655129774
y282	 acd5	0.266688965	0.11668321232783009
y283	 acd5	-0.302464186	0.015039859396765803
y284	 acd5	-0.618169178	0.2766771444003307
y285	 acd5	-0.551771874	-0.064769595
y286	 acd5	0.2083303142263935	0.064760234
y287	 acd5	0.20057141823369956	0.064982905
y288	 acd5	-0.752940483	0.2915091051254525
y289	 acd5	0.23923644793448645	0.078429075
y290	 acd5	0.17920279773720416	0.055331957
y291	 acd5	-0.473874823	0.19896484074528378
y308	 lsd1	0.20849998305630657	0.073464975
y309	 lsd1	0.19783803061736144	0.049503054
y310	 lsd1	0.066903023	-0.007735669
y311	 lsd1	0.21969160846566496	0.071633387
y312	 lsd1	0.22142757055947582	0.06859363
y313	 lsd1	0.18086399924772878	0.068093084
y314	 lsd1	0.19734375230814152	0.066014788
y315	 lsd1	0.13418934497506785	0.050841805
y316	 lsd1	0.15622481745935263	0.055631506
y317	 lsd1	0.12450070050094993	0.037434863
y318	 lsd1	0.16213743454789775	0.053565093
y319	 lsd1	0.13467499903993835	0.044351221
y320	 lsd1	0.20084354531165305	0.063607972
y321	 lsd1	0.19727299333681442	0.061478039
y322	 lsd1	0.24183809783592544	0.090303889
y323	 lsd1	0.15624645338800228	0.052691619709485965
y324	 tip1	0.23323664983485876	0.079267986
y325	 tip1	-0.047246122	-0.336183234
y326	 tip1	-1	0.47029177263411315
y327	 tip1	0.1971729853459592	0.071863421
y328	 tip1	0.12775900815993851	0.053727319
y329	 tip1	0.2603616543551251	0.10864727574311196
y330	 tip1	0.2560958545245055	0.10159097749870818
y331	 tip1	0.24171905175381597	0.082018023
y332	 tip1	0.21968557922604323	0.077686708
y333	 tip1	0.2252073918047574	0.074918591
y334	 tip1	0.238592076	0.084215498
y335	 tip1	0.2567170229410461	0.10008955355627941
y336	 tip1	0.2634830374644269	0.107138086
y337	 tip1	0.2077938220602221	0.0685017
y338	 tip1	0.16971916891396083	0.047822934
y339	 tip1	-0.06735456	0.073085336
